productos_id,OPERACION,CODIGO_CLIENTE,MONEDA,TIPO_CARTERA,SALDO_CAPITAL,SALDO_INTERES,FECHA_PROCESO,FECHA_VENCIMIENTO,descripcion,cotizacion,saldo_total
1,0000000F10976921,205414,PYG,"CARTERA ACTIVA",531587,8733,"2022-08-29 00:00:00","2022-07-15 00:00:00",GUARANIES,1,540320
2,0000000A10034821,204156,PYG,"CARTERA PASIVA",0,0,"2022-08-11 00:00:00","2022-09-26 00:00:00",GUARANIES,1,0
3,0000000F10985321,205410,PYG,"CARTERA ACTIVA",928544,55456,"2022-09-23 00:00:00","2022-08-15 00:00:00",GUARANIES,1,984000
4,0000000F11672821,204108,PYG,"CARTERA PASIVA",4037982,154018,"2022-03-11 00:00:00","2022-08-06 00:00:00",GUARANIES,1,4192000
5,0000000A10045021,204156,USD,"CARTERA PASIVA",500,0,"2022-08-11 00:00:00","2022-09-26 00:00:00",DOLARES,6980,500
6,0000000F10985321,205410,PYG,"CARTERA ACTIVA",1074875,73125,"2022-05-29 00:00:00","2022-07-15 00:00:00",GUARANIES,1,1148000
7,0000002385252104,205392,PYG,"CARTERA ACTIVA",459889,95135,"2022-09-23 00:00:00","2021-10-11 00:00:00",GUARANIES,1,555024
8,0000000F11672821,204108,PYG,"CARTERA ACTIVA",3054413,89587,"2022-05-23 00:00:00","2022-10-06 00:00:00",GUARANIES,1,3144000
9,0000002386132003,212346,PYG,"CARTERA PASIVA",1560750,0,"2022-03-23 00:00:00","2022-03-14 00:00:00",GUARANIES,1,1560750
10,0000000F10983921,205412,USD,"CARTERA ACTIVA",2100,55536,"2022-08-29 00:00:00","2022-07-15 00:00:00",DOLARES,6980,57636
11,0000000F11672821,204108,PYG,"CARTERA PASIVA",3548277,119723,"2022-09-20 00:00:00","2022-09-06 00:00:00",GUARANIES,1,3668000
12,0000000F10988121,205415,PYG,"CARTERA ACTIVA",1302225,77775,"2022-02-23 00:00:00","2022-08-15 00:00:00",GUARANIES,1,1380000
13,0000000F10986721,205411,USD,"CARTERA ACTIVA",23200,335671,"2022-08-29 00:00:00","2022-07-15 00:00:00",DOLARES,6980,358871
14,0000000F10983921,205412,PYG,"CARTERA ACTIVA",882455,37545,"2022-09-23 00:00:00","2022-08-15 00:00:00",GUARANIES,1,920000
15,0000000050068621,204156,USD,"CARTERA PASIVA",0,0,"2022-08-11 00:00:00","2022-09-26 00:00:00",DOLARES,6980,0
16,0000000A10022221,210508,PYG,"CARTERA ACTIVA",14070466,429534,"2022-03-23 00:00:00","2021-11-08 00:00:00",GUARANIES,1,14500000
17,0000002385252104,205392,USD,"CARTERA ACTIVA",30,84564,"2022-08-30 00:00:00","2021-10-11 00:00:00",DOLARES,6980,84594
18,0000000F10988121,205415,PYG,"CARTERA ACTIVA",1507445,102555,"2022-04-29 00:00:00","2022-07-15 00:00:00",GUARANIES,1,1610000
19,0000000920003721,210508,PYG,"CARTERA ACTIVA",38685002,3236858,"2022-09-23 00:00:00","2021-10-27 00:00:00",GUARANIES,1,41921860
20,0000000F10986721,205411,PYG,"CARTERA ACTIVA",3232921,277079,"2022-01-23 00:00:00","2022-08-15 00:00:00",GUARANIES,1,3510000
